bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Ljetopis;Kviz: Ljetopis;Šta Ljetopis govori o položaju žena u ondašnjem Sarajevu?;Žene su bile ravnopravne;Posredno otkriva ograničen položaj žena kroz bilješke o udajama i smrćima;Žene se uopće ne spominju;Žene su bile slobodne;b;1.0
Ljetopis;Kviz: Ljetopis;Koji je Bašeskijin stav prema osmanskoj vlasti?;Pohvalan je ali ponekad implicite kritizira kroz bilježenje nevolja;Otvoreno je kritizira;Nikada je ne komentira;Potpuno je neutralan;a;1.0
Ljetopis;Kviz: Ljetopis;Šta Bašeskija misli o svom vremenu kao historijskom periodu?;Da je zlatno doba;Da je neprimjetan;Da je napredak;Da je period opadanja i propadanja;d;1.0
Ljetopis;Kviz: Ljetopis;Koje su karakteristike Ljetopisa što ga čine bliskim usmenoj knževnosti?;Klasična kompozicija;Živost kazivanja, sažetost, direktni komentari, domaće uzrečice;Dugačka poglavlja;Citati iz knjiga;b;1.0
Ljetopis;Kviz: Ljetopis;Šta su 'tezkere' u Ljetopisu?;Stranice posvećene molitvama;Vojni izvještaji;Popisi tržišnih cijena;Kratki nekrolozi s karakterizacijom umrlog;d;1.0
Ljetopis;Kviz: Ljetopis;Koja je osnovna vrijednost Ljetopisa za bosansku književnost?;Jedini je roman iz tog perioda;Jedinstven je dokument sarajevskog života i mentaliteta iz 18. st. pisan domaćim glasom;Pisan je na arapskom;Jedini je osmanski tekst o Bosni;b;1.0
Ljetopis;Kviz: Ljetopis;Kako Bašeskija gleda na vlastitu smrt?;S mirenjem i vjerničkim prihvatanjem;S prezirom;Sa strahom;Ignorira je;a;1.0
Ljetopis;Kviz: Ljetopis;Šta Bašeskija opisuje pod pojmom 'kihaja' ili 'aga'?;Vjerske titule;Lokalne upravne i vojničke funkcionere čije postupke komentira;Titule za imame;Prazne počasne titule;b;1.0
Ljetopis;Kviz: Ljetopis;Koji je Bašeskijin ton kada opisuje smiješne ili čudne situacije?;Uvijek ozbiljan;Satiričan i ljut;Blago humoran i ironičan, nikad grub;Neutralan;c;1.0
Ljetopis;Kviz: Ljetopis;Šta Bašeskija piše o javnim egzekucijama i kaznama?;Bilježi ih hladnokrvno kao dio svakodnevne stvarnosti;Ignorira ih;Osuđuje ih uvijek;Hvali ih kao pravedne;a;1.0
Ljetopis;Kviz: Ljetopis;Koji su Bašeskijini književni uzori?;Evropski prosvjetiteljski pisci;Grčki klasici;Renesansna književnost;Osmanska kroničarska tradicija i islamska učenost;d;1.0
Ljetopis;Kviz: Ljetopis;U čemu je Bašeskija jedinstven među osmanskim kroničarima?;Piše o malom čovjeku i gradskom životu, ne samo o sultanima i vojskama;Piše na turskom;Piše o selu;Piše o putovanjima;a;1.0
Ljetopis;Kviz: Ljetopis;Kako Bašeskija opisuje opadanje moći Osmanskog Carstva u Ljetopisu?;Posredno, kroz bilježenje kaotičnih stanja, nereda i gubitaka u ratovima;Otvoreom kritikom;Nikako;S nostalgijom za prošlim sultanima;a;1.0
