bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Grozdanin kikot;Kviz: Grozdanin kikot;Kakav je Humov jezik u romanu?;Suh i dokumentaristički;Naučni i analitički;Bogat, lirski, pun narodnih izraza i slike zavičajnog pejzaža;Urbani i moderni;c;1
Grozdanin kikot;Kviz: Grozdanin kikot;Što roman govori o položaju žene u bosanskohercegovačkom selu?;Da žena živi pod stalnom kontrolom zajednice koja određuje granice njene slobode;Da položaj žene u selu nije tema romana;Da žena ima punu slobodu izbora;Da je žena superiorna u seoskoj zajednici;a;1
Grozdanin kikot;Kviz: Grozdanin kikot;Koja emocija dominira romanom?;Čežnja za slobodom i nemogućnost njenog ostvarenja;Radost i optimizam;Ljutnja i bunt;Strah od budućnosti;a;1
Grozdanin kikot;Kviz: Grozdanin kikot;Kakva je veza između Grozdane i hercegovačke prirode?;Negativna – priroda joj je prijetnja;Slaba – Grozdana je gradski tip;Duboka – ona je kao dio te prirode, slobodna i neukrotiva;Nema posebne veze;c;1
Grozdanin kikot;Kviz: Grozdanin kikot;U kojoj je mjeri roman autobiografski?;Roman je potpuna biografija autora;Autobiografski elementi su prisutni samo u predgovoru;Roman je isključivo izmišljotina bez autobiografskih elemenata;Humo crpi iz osobnih sjećanja na Hercegovinu;d;1
Grozdanin kikot;Kviz: Grozdanin kikot;Što simbolizira zemlja i tlo Hercegovine u romanu?;Samo fizički prostor bez simbolike;Korijen, identitet i zavičajnu vezu koja određuje sudbinu;Prepreku razvoju;Bogatstvo koje likovi žele stječi;b;1
Grozdanin kikot;Kviz: Grozdanin kikot;Što se kroz roman problematizira u pogledu tradicije?;Da tradicija nije relevantna za lične sudbine;Da tradicija uvijek štiti i čuva;Da tradicija može biti okovi koji guše živu, slobodnu osobu;Da tradicija treba biti odbačena bez ostatka;c;1
Grozdanin kikot;Kviz: Grozdanin kikot;Kakav je temperament Grozdane u situacijama pritiska zajednice?;Povučena i depresivna;Pokorna i poslušna;Agresivna i nasilna;Vitalna i prkosna, ne gubi sebe lako;d;1
Grozdanin kikot;Kviz: Grozdanin kikot;Što je posebno u načinu na koji Humo prikazuje emocije?;Kroz slike prirode, pokrete tijela i simboličke detalje, a ne izravno;Isključivo kroz unutarnji monolog;Isključivo kroz dijalog;Kroz naučne psihološke opise;a;1
Grozdanin kikot;Kviz: Grozdanin kikot;Koja vrsta tragičnosti dominira romanom?;Socijalna – Grozdana strada zbog klasnih razlika;Lirska – gubitak osjećaja i mogućnosti bez dramatičnih vanjskih događaja;Kriminalna – Grozdana je žrtva zločina;Junačka – Grozdana gine u borbi;b;1
Grozdanin kikot;Kviz: Grozdanin kikot;Zašto se Grozdanin smijeh pamti kao centralni simbol romana?;Jer Grozdana smijehom postiže ono što želi;Jer je smijeh zabranjivan u njenoj kulturi;Jer smijeh označava njeno prihvatanje sudbine;Jer je to i jedini oblik slobode i otpora koji joj ostaje u okovima konvencija;d;1
Grozdanin kikot;Kviz: Grozdanin kikot;Kako je prikazana muška figura koja Grozdanu voli?;S divljenjem prema njoj, ali i nemoću da prekorači društvene granice;Kao lik bez složenosti;Kao junak koji rješava sve prepreke;Kao negativac koji je izrabljuje;a;1
Grozdanin kikot;Kviz: Grozdanin kikot;Što Grozdana kao lik znači za bošnjačku književnost?;Tipičan i nezanimljiv lik;Lik koji nema književne vrijednosti;Jedan od najsnažnijih ženskih likova koji utjelovljuje vitalizam i ženstvenost mimo pasivnih stereotipa;Primjer negativnog ženskog lika;c;1
Grozdanin kikot;Kviz: Grozdanin kikot;Što roman implicira o onome što se izgubi kada društvo guši slobodu pojedinca?;Da je gubitak korisno korigiranje;Da se gubi vitalni dio zajednice – nešto nenadoknadivo i vrijedno;Da sloboda nije vrijednost u kolektivnim kulturama;Da se ništa suštinski ne gubi;b;1
Grozdanin kikot;Kviz: Grozdanin kikot;Kojim stilskim figurama Humo gradi Grozdanin lik?;Metaforama, simbolima i lirskim opisima koji je poistovjećuju s prirodom;Ironijom i satirom;Statistikama i činjenicama;Historijskim dokumentima;a;1
Grozdanin kikot;Kviz: Grozdanin kikot;Zašto je 'Grozdanin kikot' kapitalno djelo bosanskohercegovačke književnosti?;Jer spaja zavičajni realizam, liriku i psihologiju na jedinstven način;Jer je preveden na sve europske jezike;Jer je jedini bosanski roman o ženama;Jer opisuje historijske bitke;a;1
