"bookTitle";"quizTitle";"questionText";"optionA";"optionB";"optionC";"optionD";"correctAnswer";"points"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Što narator shvata o sebi na kraju romana?";"Da je Sudan superioran Europi";"Da je Mustafa bio u pravu cijelo vrijeme";"Da je i sam rascijepljen – ni pravi Europejac ni pravi Sudanac";"Da treba ostati u Engleskoj";"c";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Koja je scena na kraju romana?";"Hosna preživljava";"Narator odlazi";"Narator se bori s rijekom – između utapanja i plivanja prema obali – između smrti i izbora";"Mustafa se pojavljuje živ";"c";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Kako je roman vremenski smješten?";"Za vrijeme Drugog svjetskog rata";"Za vrijeme britanskog kolonijalizma";"U suvremeno doba";"U postkolonijalnom periodu – Sudan je tek nedavno stekao neovisnost";"d";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Šta Mustafa Said studira u Engleskoj?";"Ekonomiju";"Pravo";"Medicinu";"Filozofiju";"a";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Kakav je stil pisanja Tajiba Saliha?";"Satiričan i ironičan";"Realistički bez simbolizma";"Lirski i bogat simbolima, s jasnom postkolonijalnom tematikom";"Suh i dokumentaristički";"c";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Šta je 'sezona seobe' u naslovu?";"Politička migracija";"Suša koja tjera seljake";"Ptice koje sele prema sjeveru, ali i Afrikanci koji odlaze u Europu – dvosmjerna kolonijalna dinamika";"Godišnje doba u Sudanu";"c";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Koliko se narator dugo školovao u Engleskoj?";"Dvije godine";"Sedam godina";"Deset godina";"Godinu dana";"b";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Ko je Jean Morris?";"Mustafina majka u Engleskoj";"Naratorova ljubavna veza u Engleskoj";"Profesorica koja pomaže Mustafi";"Engleskinja koja postaje Mustafina supruga i kobna ljubav";"d";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Kakav je kraj Jean Morris?";"Mustafa je ubija i potom se predaje policiji";"Umire od bolesti";"Vraća se u svoju zemlju";"Napušta Mustafu i udaje za drugog";"a";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Zašto je roman važan u afričkoj književnosti?";"Jedan je od prvih koji se direktno suočava s psihološkim i kulturnim posljedicama kolonijalizma iz afričke perspektive";"Jer je jedini roman Tajiba Saliha";"Jer opisuje afrička historijska zbivanja";"Jer je napisan na arapskom";"a";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Kakav je odnos između muškarca i žene u romanu?";"Hladna međusobna ravnodušnost";"Prijateljski bez erotske dimenzije";"Romantičan i ravnopravan";"Složen i uzajamno destruktivan – nastavak kolonijalne dinamike moći";"d";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Što narator ne uspijeva saznati do kraja?";"Zašto Mustafa dolazi u selo";"Ko je ubio Hosnu";"Pravu istinu o Mustafinom identitetu i sudbini";"Šta se nalazi u sobi";"c";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Koji je vremenski redoslijed naracije?";"Hronološki od Mustafine mladosti";"Retroaktivan od Mustafine smrti";"Nelinearan – sadašnjost isprepletena s prošlošću";"Strogo linearan od početka do kraja";"c";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Šta je roman 'Sezona seobe na sjever' za arapsku i afričku književnost?";"Jedno od najvažnijih postkolonijalnih djela koje spaja arapsku i afričku tradiciju s modernom temom identiteta";"Jedini arapski roman preveden na engleski";"Roman koji promoviše panafricanizam";"Jedini roman koji opisuje Sudan";"a";"1"
"Sezona seobe na sjever";"Kviz: Sezona seobe na sjever";"Zašto se roman bavi temom spolnosti?";"Jer je seksualnost jedina tema postkolonijalne književnosti";"Jer je seksualnost metafora za kolonijalne odnose moći, dominacije i uzajamne destrukcije";"Jer su likovi mladi i neiskusni";"Jer je Salih htio šokirati čitaoce";"b";"1"
