bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Hadži Lojo;Kviz: Hadži Lojo;Kako austrougarska vojska u romanu pristupa zauzimanju Bosne?;S malim snagama i teškom mukom;S nadmoćnom vojnom silom s kojom ustanak nije mogao izaći na kraj;Diplomatskim putem bez borbe;Podmićivanjem vođa otpora;b;1
Hadži Lojo;Kviz: Hadži Lojo;Koji je Hadži Lojin odnos s vjerom prikazan u romanu?;Vjera mu je duboki identitetski temelj i motiv otpora;Vjera mu je samo formalna i površna;On se distancira od vjere radi politike;Vjera mu je prepreka u organizaciji otpora;a;1
Hadži Lojo;Kviz: Hadži Lojo;Što roman pokazuje o razlikama unutar bošnjačkog društva pred austrougarsku vlast?;Da je bilo onih koji su pružali otpor i onih koji su prihvatili novu vlast;Da su svi Bošnjaci bili jednoglasno za otpor;Da su svi Bošnjaci surađivali s novom vlašću;Da su podjele bile samo vjerske, ne i političke;a;1
Hadži Lojo;Kviz: Hadži Lojo;Na koji način Hadži Lojo mobilizira ljude oko sebe?;Prijetnjama i prisiljava ljude;Finansijskim nagradama;Vjerskim autoritetom uleme;Karizmatičnom osobnošću, govorima i pozivom na obranu doma;d;1
Hadži Lojo;Kviz: Hadži Lojo;Kako završava Hadži Lojina lična sudbina?;Herojski – pogiba u borbi i postaje legenda;Uspješno – pregovara povlašteni položaj s Austrijancima;Tragično – kao gubitnik koji nije uspio odbraniti grad;Odlazi u emigraciju i nastavlja borbu;c;1
Hadži Lojo;Kviz: Hadži Lojo;Što roman govori o cijeni otpora prema nadmoćnijoj sili?;Da otpor uvijek donosi pobjedu;Da je otpor besmislen i treba ga odmah odbaciti;Da je cijena otpora uvijek preniska;Da je otpor moralno opravdan, ali materijalno poražen;d;1
Hadži Lojo;Kviz: Hadži Lojo;Kakvu ulogu ima sarajevska čaršija u romanu?;Sporednu – čaršija se jedva spominje;Centralnu – čaršija je srce zajednice gdje se kuju planovi i raspravlja;Negativnu – čaršija sabotira ustanak;Simboličnu – postoji samo kao metafora;b;1
Hadži Lojo;Kviz: Hadži Lojo;Što ulazak austrougarske vlasti u romanu znači za islamsku tradiciju Bosne?;Mogućnost slobodnog ispovijedanja vjere;Ništa posebno – vjera nije tema romana;Potpunu zabranu islama;Prijetnju opstanku dotadašnjeg vjerskog i kulturnog identiteta;d;1
Hadži Lojo;Kviz: Hadži Lojo;Koji je stav pisca prema ustanku i Hadži Loji?;Kritičan – ustanak je prikazan kao katastrofalna greška;Neutralan bez emotivnog stava;Ironičan i satiričan;Simpatičan – ustanak se prikazuje kao moralno opravdan čin;d;1
Hadži Lojo;Kviz: Hadži Lojo;Što roman kaže o pojmu slobode u kontekstu kolonijalizma?;Da sloboda nije važna koliko ekonomski napredak;Da sloboda dolazi bez žrtve;Da sloboda ima visoku cijenu i da narod mora sam odlučiti je li vrijedna žrtvovanja;Da sloboda nije moguća za male narode;c;1
Hadži Lojo;Kviz: Hadži Lojo;Na koji način su prikazani austrougarski vojnici i oficiri?;Kao okrutni zlikovci;Kao prijatelji bošnjačkog naroda;Kao slabi i neorganizovani;Kao profesionalna vojska koja ne razumije bošnjačku kulturu;d;1
Hadži Lojo;Kviz: Hadži Lojo;Što se u romanu događa s Bosnom kao entitetom nakon gušenja ustanka?;Dobija potpunu autonomiju;Postaje austrougarska pokrajina i gubi raniji status;Vraća se osmanskoj imperiji;Postaje neovisna država;b;1
Hadži Lojo;Kviz: Hadži Lojo;Kakva je uloga žena u romanu 'Hadži Lojo'?;Marginalna – roman je fokusiran na javnu, mušku sferu otpora;Centralna – žene vode ustanak;Negativna – žene sabotiraju otpor;Žene su jedini likovi koji jasno vide situaciju;a;1
Hadži Lojo;Kviz: Hadži Lojo;Što roman prikazuje kroz lik Hadži Loje u pogledu sudbine heroja?;Da heroj uvijek materijalno pobjeđuje;Da heroji ne postoje u historiji malih naroda;Da heroj može biti poražen a ipak moralno pobjeđivati;Da je heroizam naivan i kontraproduktivan;c;1
Hadži Lojo;Kviz: Hadži Lojo;Koja je razlika između Hadži Loje i onih Bošnjaka koji prihvaćaju austrijsku vlast?;Hadži Lojo bira konfrontaciju, drugi biraju prilagodbu kako bi preživjeli;Hadži Lojo je koristan Austrijancima, drugi nisu;Nema razlike, svi postupaju jednako;Hadži Lojo želi osmansku vlast, drugi žele austrijsku;a;1
Hadži Lojo;Kviz: Hadži Lojo;Kako roman prikazuje Sarajevo kao grad u trenutku historijskog preokreta?;Kao živo biće koje pati i mijenja se zajedno s narodom;Kao hladnu i bezličnu pozadinu događaja;Kao idilično i mirno mjesto;Kao grad koji radosno dočekuje promjene;a;1
Hadži Lojo;Kviz: Hadži Lojo;Što Hadži Lojin lik znači za bošnjačku kulturnu memoriju?;Podsjeća na poraz koji treba zaboraviti;Simbol je kompromisa i pragmatizma;Primjer negativnog vođe kojeg treba izbjegavati;Utjelovljuje otpor i dostojanstvo suočeno s historijskim porazom;d;1
Hadži Lojo;Kviz: Hadži Lojo;Kako je prikazan sukob između starih osmanskih i novih austrougarskih vrijednosti?;Kao dubok civilizacijski lom koji narod doživljava bolno i traumatično;Kao glatka i bezbolna tranzicija;Kao nešto što se jedva primjećuje u svakodnevnom životu;Kao radosna promjena nabolje;a;1
Hadži Lojo;Kviz: Hadži Lojo;Zašto je 'Hadži Lojo' važno djelo bosanske književnosti?;Jer je to prvi bosanski roman ikada napisan;Čuva sjećanje na otpor 1878. i tematizira bošnjački identitet u prelomnom trenutku;Jer opisuje ljubavnu priču na pozadini historije;Jer je pisano u stihovima;b;1
