bookTitle;quizTitle;questionText;optionA;optionB;optionC;optionD;correctAnswer;points
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Koliki je vremenski raspon radnje romana?;Otprilike dvije i pol godine;Jedna godina;Deset godina;Jedna sezona;a;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Šta Wertherova smrt simbolizira u romanu?;Trijumf razuma;Kaznu za grijeh;Propast senzibilnog čovjeka koji ne može naći mjesto u hladnom društvu;Slabost karaktera;c;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Na kojim dijelovima romana prekida se epistolarna forma?;Na kraju, gdje nepoznati pripovijedač preuzima naraciju;Na početku;Na sredini;Nigdje;a;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Šta je autobiografski temelj romana?;Ništa;Goetheova nesretna ljubav prema Lotte Buff zaručnici njegovog prijatelja Kestnera;Gotova izmišljotina;Priča o drugom Goetheovom prijatelju;b;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Kakav je Albertov karakter nasuprot Wertherovom?;Sentimentalan i romantičan;Ravnodušan prema Lotti;Grub i surov;Razuman, stabilan, praktičan – suprotan Wertherovu idealizmu;d;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Šta se na kraju saznaje o Wertherovu pogrebu?;Ni svećenici ni rodbina ne ispratiše ga jer je samoubojica;Sahranjen je uz Lotte;Sahranjen s vojnim počastima;Lotte mu organizira veličanstven pogreb;a;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Koji lik u romanu predstavlja glas razuma?;Lotte;Albert;Wilhelm, Wertherov prijatelj kome piše;Knez;c;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Šta Werther kaže o ljubavi i Bogu u kasnim pismima?;Da su jedno te isto;Da je njegova ljubav prema Lotti sveta kao molitva;Da Bog ne postoji;Da ljubav ne može trajati;b;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Koji je Wertherovo zanimanje/talent pored osjećajnosti?;Crtanje i slikanje kao izraz njegove osjetljivosti;Glazba;Ples;Jahanje;a;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Kako je roman primljen u Europi nakon objavljivanja 1774.?;Ignoriran;S kritikama zbog moralne neprihvatljivosti;Ogromnim uspjehom – Goethe postaje slavna ličnost;Zabranjen u cijeloj Europi;c;1.0
Patnje mladog Werthera;Kviz: Patnje mladog Werthera;Koja je osnovna tema Patnji mladog Werthera?;Politička revolucija;Sukob između osjećajnog pojedinca i ograničenja koje nameću društvo i stvarnost;Moralna propast od ljubomore;Religijska kriza;b;1.0
